uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,duration_ms_y,liveness,tempo,time_signature,valence,album_release_date
spotify:track:53TFB6X6m5yKwCK03sOwr7,11,0.719,0.415,2,-8.983,1,0.0902,0.558,0.0,183109,0.293,160.02,4,0.463,2021-05-13
spotify:track:3cAZ0A6Mmwcowrnu8r7b7o,32,0.824,0.52,8,-10.133,1,0.0354,0.242,0.0415,175978,0.261,120.1,4,0.874,2021-05-13
spotify:track:39VzfaJVzLp915bgsU19BI,19,0.611,0.88,9,-4.02,0,0.0416,0.00202,0.000183,172636,0.378,114.023,4,0.965,2021-04-30
spotify:track:1AjLhqr8krOFC32kKfm6zg,25,0.781,0.403,11,-9.467,0,0.0439,0.792,0.00138,152558,0.084,129.062,4,0.344,2021-04-21
spotify:track:3f2vKKAo2xoQDjjxIEuMDc,2,0.811,0.39,3,-10.321,0,0.0379,0.0867,0.00183,188040,0.134,124.056,4,0.518,2021-04-27
spotify:track:2kktCN1EnBf2dvIm5ZkdI3,27,0.525,0.575,4,-7.785,0,0.047,0.463,0.00185,212654,0.0892,158.084,4,0.0739,2020-10-16
spotify:track:4GK4ozFpzroPxiUdE0k9yJ,2,0.696,0.485,4,-5.913,0,0.0788,0.286,0.0,184277,0.321,171.984,4,0.512,2022-07-05
spotify:track:5HhLzu81uxhWiyhvC0dHEO,1,0.798,0.559,11,-5.729,1,0.0343,0.561,0.0,195717,0.13,119.998,4,0.875,2022-09-26
spotify:track:6lmOTdlIGSSEd55GLML2lZ,1,0.743,0.435,1,-11.53,1,0.0411,0.0522,0.000996,241668,0.0755,111.892,4,0.0843,2022-07-21
spotify:track:2ep2fSZcVZxdOTalVbXbCa,0,0.44,0.516,5,-6.384,0,0.071,0.48,0.0,244305,0.0996,148.005,4,0.169,2022-07-14
spotify:track:7aAqZRdwLXzW1LejPLC79I,0,0.744,0.523,2,-6.478,1,0.112,0.207,0.0,239400,0.27,122.008,4,0.42,2022-07-17
spotify:track:5DF1RA2Grkga0mXk3WPStH,0,0.536,0.47,4,-11.669,0,0.033,0.207,0.127,194858,0.207,101.025,4,0.104,2022-07-21
spotify:track:68avRHl0QLfNwBUtZH8Aao,0,0.28,0.652,5,-7.55,1,0.0663,0.356,0.0,190871,0.123,79.802,4,0.34,2022-07-21
